ID;description;startDate;endDate;createdAt;createdBy;modifiedAt;modifiedBy;customer_ID;price;paid
8e4b4166-b036-4434-91e3-20e34ddbd8c1;Celica;2020-10-27;2021-04-11;2021-06-01;admin;2021-06-01;admin;1fdeaa27-8dc6-4061-85f7-70805a1acd02;35859.47;true
223e2ec8-690a-4eda-8907-c1b7a95b1ee6;Caravan;2020-08-12;2021-04-01;2021-06-01;admin;2021-06-01;admin;35799c6b-70e6-47c5-b4dc-a17177c0ceca;40173.43;false
c0ddf485-be85-4bb6-9661-4d47ea5829c4;Escape;2020-09-28;2021-03-12;2021-06-01;admin;2021-06-01;admin;5f8c1db4-155b-4330-b03f-db560cb4cc0d;93910.29;false
b0f86642-824b-4da7-97e6-37a24990f8e6;B-Series Plus;2020-08-11;2021-05-29;2021-06-01;admin;2021-06-01;admin;fd918c24-1b76-4fbe-8d9b-5e40c3d609b0;16541.25;false
d9d373a0-918f-4455-9b84-0270223e562e;IS F;2020-06-14;2021-03-12;2021-06-01;admin;2021-06-01;admin;8287c325-2106-42ee-9d15-4d65f25928c1;49526.27;false
a72d0ee4-1725-452d-9181-26c497bfb503;Ram 2500 Club;2020-11-19;2021-04-19;2021-06-01;admin;2021-06-01;admin;6629b64b-fa4b-4230-8443-48fea705f4f0;74522.29;true
3e8b21bb-acd4-485c-a73d-005173127519;Montero;2020-11-13;2021-02-28;2021-06-01;admin;2021-06-01;admin;47781ec5-65ac-492f-a6d6-dac2a5a62183;24026.29;false
b8d28932-d118-4d12-a41a-b15bd326b0a1;Elantra;2020-10-16;2021-04-14;2021-06-01;admin;2021-06-01;admin;3e7c9f66-2548-4add-b6ff-33874e102501;83708.16;false
cfd42ab0-5b89-4c6b-aafd-8de93a8d8583;A4;2020-10-03;2021-05-31;2021-06-01;admin;2021-06-01;admin;5f8c1db4-155b-4330-b03f-db560cb4cc0d;67906.46;true
4d1fe6fb-8aa2-47fe-ad24-2ecbab02c92b;Sportage;2020-07-11;2021-05-27;2021-06-01;admin;2021-06-01;admin;e343692d-8641-47b3-886b-ad71f8717a08;78196.46;false
58d3dc0e-1263-4cc7-bbeb-d9b58f8fda8a;S-Class;2020-06-21;2021-02-09;2021-06-01;admin;2021-06-01;admin;adec2460-39de-45d5-aba8-2998787094cd;15722.48;false
